시설명,주소,전화번호,위도,경도,구
동해해물,서울특별시 광진구 동일로26길 16 (화양동),02-469-5843,37.5452127,127.0667517,광진구
망향비빔국수,"서울특별시 광진구 천호대로 694 (구의2동,(1층))",02-454-1357,37.5492754,127.0912249,광진구
부림정,서울특별시 광진구 뚝섬로 476-7 (자양4동),02-463-5455,37.5363506,127.0627208,광진구
산울,"서울특별시 광진구 아차산로73길 48, 2층 201호(광장동)",02-453-2277,37.5466931,127.1024213,광진구
소야지,서울특별시 광진구 능동로36길 24 (능동),02-446-7645,37.5558218,127.0804375,광진구
신선설농탕,서울특별시 광진구 자양로 139 (자양1동),02-454-7944,37.5402789,127.0828938,광진구
심마니유황오리,서울특별시 광진구 긴고랑로 85 (중곡2동),02-452-1610,37.5608602,127.0852777,광진구
영산강,서울특별시 광진구 자양로16길 24 (자양2동),02-452-2119,37.5363359,127.0852153,광진구
예담밥상,서울특별시 광진구 동일로22길 13 (화양동),02-469-0072,37.5424794,127.0652128,광진구
옹기생삼겹살,서울특별시 광진구 영화사로 97 (구의2동),02-447-3492,37.5545639,127.0968977,광진구
유일설렁탕,서울특별시 광진구 용마산로 154 (중곡4동),02-452-5860,37.5673562,127.0864933,광진구
중일가든,서울특별시 광진구 아차산로76가길 4 (광장동),02-447-4111,37.5474829,127.1074896,광진구
지담정,서울특별시 광진구 능동로37길 10-3 (중곡1동),02-2205-3777,37.5582095,127.0792729,광진구
찜집,서울특별시 광진구 자양번영로 44(자양1동),02-446-1149,37.5331659,127.0762135,광진구
채선당,서울특별시 광진구 용마산로 110 (중곡4동),02-452-5200,37.5633567,127.0872224,광진구
천년의섬 명품 광어,서울특별시 광진구 아차산로 438 (구의3동),02-457-9706,37.5382075,127.0912914,광진구
춘향골남원추어탕,서울특별시 광진구 아차산로 453-1 (구의3동),02-446-4005,37.5394861,127.0924708,광진구
한강옥,서울특별시 광진구 아차산로78길 147 (광장동),02-456-0091,37.5477372,127.1095417,광진구
함흥본가면옥,서울특별시 광진구 광나루로 456 (화양동),02-447-8806,37.545067,127.0797571,광진구
황금어장,서울특별시 광진구 광나루로 376 (화양동),02-467-4414,37.5476428,127.0715491,광진구
장원닭한마리,서울특별시 광진구 뚝섬로52길 8 (자양2동),02-446-9662,37.5316603,127.0792916,광진구
민벅,서울특별시 광진구 능동로13길 39(화양동),,37.5434818,127.0699485,광진구
주식회사 돕,서울특별시 광진구 아차산로31길 9(화양동),,37.5414436,127.0692519,광진구
홍천화로숯불구이,서울특별시 광진구 천호대로110길 27(능동),,37.5559236,127.0797402,광진구
숨비소리,서울특별시 광진구 화양동 112-16,02-466-5892,37.547004,127.072799,광진구
콩이랑두부랑,서울특별시 광진구 구의동 244-62,02-3425-3800,37.538368,127.090389,광진구
태평양수산회세꼬시,서울특별시 군자로 183,02-499-9192,37.557005,127.078257,광진구
한촌설렁탕군자점,서울특별시 광진구 군자동 242번지 1층,02-468-4200,37.552881,127.07686,광진구
무화잠 강남점,서울 강남구 강남대로 338,02-563-7878,37.493405,127.030437,강남구
배꼽집,서울 강남구 강남대로128길 22,02-539-3323,37.510086,127.024124,강남구
닭한마리감자탕,서울 강남구 강남대로152길 13,02-515-5220,37.51739,127.020511,강남구
마산옥,서울 강남구 강남대로152길 9,02-544-7207,37.517271,127.020241,강남구
새벽집 청담동점,서울 강남구 도산대로101길 6,02-546-5739,37.525565,127.052862,강남구
배러댄비프,서울 강남구 도산대로11길 5,02-3446-0400,37.517864,127.022281,강남구
영천영화,서울 강남구 도산대로90길 3,02-3442-0381,37.523962,127.049579,강남구
봉화전,서울 강남구 봉은사로 632,02-568-0919,37.514738,127.064526,강남구
옛골,서울 강남구 봉은사로24길 12,02-561-0591,37.505938,127.032605,강남구
대가,서울 강남구 봉은사로4길 24,02-567-2379,37.503275,127.026419,강남구
고운님,서울 강남구 삼성로81길 22,02-562-9292,37.504334,127.05589,강남구
청국장 서갈비,서울 강남구 선릉로 420,02-561-1019,37.502505,127.050281,강남구
토말,서울 강남구 선릉로121길 13,02-518-0292,37.513704,127.041214,강남구
현대정육식당,서울 강남구 선릉로146길 5,02-540-7205,37.521931,127.04017,강남구
옛날집,서울 강남구 선릉로148길 38,02-549-7888,37.522717,127.042649,강남구
청담골,서울 강남구 선릉로148길 48,02-543-1252,37.522759,127.043406,강남구
루비떡볶이,서울 강남구 선릉로153길 21,02-516-7147,37.52464,127.037647,강남구
농민백암순대,서울 강남구 선릉로86길 40-4,02-555-9603,37.503743,127.05298,강남구
대감왕족발,서울 강남구 압구정로 216,02-511-1998,37.5281,127.031029,강남구
투뿔등심(가로수길점),서울 강남구 압구정로12길 18,02-515-5712,37.522874,127.022227,강남구
한일관,서울 강남구 압구정로38길 14,1577-9963,37.527788,127.032504,강남구
백곰막걸리&양조장,서울 강남구 압구정로48길 39,02-540-7644,37.525951,127.037087,강남구
개화옥,서울 강남구 압구정로50길 7,02-549-1459,37.527748,127.038602,강남구
짱이네산곰장어,서울 강남구 언주로 605,02-514-3554,37.509392,127.037265,강남구
한성칼국수,서울 강남구 언주로 735,02-544-0540,37.520797,127.033748,강남구
자연석돌구이,서울 강남구 언주로148길 9,02-548-9494,37.520648,127.035345,강남구
왕자장어,서울 강남구 언주로164길 35-4,070-4418-2551,37.525578,127.036594,강남구
정육식당 대치점,서울 강남구 역삼로 450,02-557-0883,37.502239,127.056414,강남구
동경육개장,서울 강남구 테헤란로13길 8-3,02-566-9779,37.50047,127.03272,강남구
하동관,서울 강남구 테헤란로78길 16,02-565-0003,37.505068,127.05535,강남구
반룡산,서울 강남구 테헤란로78길 26,02-3446-8966,37.504468,127.055798,강남구
진미평양냉면,서울 강남구 학동로 305-3,02-515-3469,37.516157,127.036036,강남구
삼성원조양곱창,서울 강남구 학동로101길 7,02-545-8895,37.520936,127.05765,강남구
고모네원조콩탕북어탕,서울 강동구 풍성로57길 13,02-485-4675,37.529671,127.135935,강동구
제주도 아줌마네집,서울 강동구 풍성로58길 34,02-488-6268,37.527494,127.135168,강동구
고성막국수,서울 강서구 방화대로49길 6-7,02-2665-1205,37.577455,126.816137,강서구
남도포장마차,서울 관악구 청룡2길 3,02-871-9121,37.481229,126.94593,관악구
논밭골 왕갈비탕,서울 관악구 청룡길 30,02-875-6493,37.480517,126.94594,관악구
해밀손칼국수,서울 관악구 청림6길 20,02-878-7654,37.486699,126.959185,관악구
원조숯불소금구이,서울 광진구 광나루로12길 19,02-2205-0808,37.54674,127.0676,광진구
동해해물,서울 광진구 동일로26길 16,02-469-5843,37.545256,127.06677,광진구
쪼매매운떡볶이,서울 노원구 공릉로 208,02-977-1120,37.628283,127.077787,노원구
무수옥,서울 도봉구 도봉로165길 15,02-954-6292,37.677131,127.044228,도봉구
육전식당 1호점,서울 동대문구 난계로30길 16,02-2253-6373,37.574295,127.024306,동대문구
전국통일닭발,서울 동대문구 장한로6길 10,02-2246-4059,37.563538,127.066746,동대문구
광주식당,서울 동대문구 홍릉로1길 21-6,02-969-4403,37.580608,127.043674,동대문구
상도실내포장마차,서울 동작구 상도로 288,02-821-3825,37.501795,126.948457,동작구
삼국지,서울 마포구 동교로 233,02-322-8988,37.560936,126.924027,마포구
무삼면옥,서울 마포구 마포대로12길 50,,37.54673,126.954503,마포구
락희옥,서울 마포구 백범로 170,02-719-9797,37.544897,126.947954,마포구
굴다리식당,서울 마포구 새창로 8-1,02-712-0066,37.54212,126.95081,마포구
동무밥상,서울 마포구 양화진길 10,02-322-6632,37.548298,126.912587,마포구
육통령,서울 마포구 와우산로17길 25,010-5879-8592,37.550082,126.921444,마포구
당인식당,서울 마포구 와우산로3길 50,02-335-0255,37.545619,126.920207,마포구
참식당,서울 마포구 용강동 43-2,02-706-2432,37.540172,126.943562,마포구
순대일번지,서울 마포구 월드컵로 117,02-334-9210,37.558675,126.907456,마포구
퓨전 선술집,서울 마포구 월드컵로1길 7,02-335-4764,37.549468,126.912502,마포구
마산족발,서울 마포구 월드컵북로 41,02-337-1399,37.557944,126.918105,마포구
이치류,서울 마포구 잔다리로3안길 44,02-3144-1312,37.550656,126.919161,마포구
로칸다몽로,서울 마포구 잔다리로7길 18,02-3144-8767,37.553111,126.916693,마포구
원조조박집,서울 마포구 토정로37길 3,02-712-7462,37.539819,126.94437,마포구
시골야채된장,서울 서초구 강남대로69길 11,02-3482-7626,37.501427,127.024237,서초구
영동족발,서울 서초구 남부순환로358길 8,02-571-3939,37.484592,127.038002,서초구
소호정 본점,서울 서초구 논현로 27,02-579-7282,37.473262,127.048684,서초구
도우룸,서울 서초구 동광로 99,02-535-9386,37.493843,126.99335,서초구
양양메밀막국수,서울 서초구 동광로15길 10,02-3482-3738,37.49252,126.988279,서초구
서호김밥,서울 서초구 방배중앙로 141-1,02-594-4434,37.491687,126.986707,서초구
오돌,서울 서초구 방배천로4길 18,02-583-8250,37.477846,126.983503,서초구
덕자네방앗간,서울 서초구 사평대로56길 7,02-575-8959,37.503161,127.023536,서초구
애플하우스,서울 서초구 신반포로 50,02-595-1629,37.501799,126.990145,서초구
강남따로국밥,서울 서초구 신반포로47길 119,02-543-2527,37.515418,127.018524,서초구
대도식당 왕십리점,서울 성동구 무학로12길 3,02-2292-9772,37.567373,127.0306,성동구
죽변항,서울 성동구 상원길 40,02-465-7487,37.547536,127.048839,성동구
대성갈비,서울 성동구 서울숲4길 27,02-464-3012,37.547083,127.044024,성동구
엽기꼼닭발,서울 성동구 왕십리로22길 3,02-2299-3838,37.562628,127.034249,성동구
성수아구찜,서울 성동구 왕십리로4길 10,02-465-4346,37.545584,127.045876,성동구
금왕돈까스,서울 성북구 성북로 138,02-763-9366,37.594804,126.994381,성북구
하단,서울 성북구 성북로6길 14,02-764-5744,37.590002,127.004999,성북구
남경막국수,서울 송파구 백제고분로7길 52-29,02-417-0060,37.509466,127.085144,송파구
주은감자탕,서울 송파구 삼학사로 71,02-413-3670,37.50369,127.096796,송파구
송파나루,서울 송파구 석촌호수로 234,02-413-7080,37.507654,127.102743,송파구
툇마루밥상,서울 송파구 송파대로22길 11,02-409-6979,37.487894,127.12313,송파구
옹아리 벌교 참꼬막,서울 송파구 송파대로30길 11,02-443-8909,37.494833,127.118412,송파구
모꼬지에,서울 송파구 송파대로36길 5-13,02-424-6150,37.500473,127.112318,송파구
봉피양,서울 송파구 양재대로71길 1-4,02-415-5527,37.510002,127.126185,송파구
벽제갈비 방이본점,서울 송파구 양재대로71길 1-4,02-415-5522,37.510002,127.126185,송파구
신복촌,서울 영등포구 국제금융로8길 19,02-706-2500,37.520769,126.929141,영등포구
다미,서울 영등포구 국제금융로8길 34,02-783-5167,37.520238,126.927248,영등포구
정인면옥,서울 영등포구 국회대로76길 10,02-2683-2615,37.530693,126.921611,영등포구
원조호수삼계탕,서울 영등포구 도림로 282,02-833-8948,37.50306,126.90415,영등포구
덕원,서울 영등포구 버드나루로길 6,02-2634-8663,37.526413,126.896262,영등포구
삼거리순대국,서울 영등포구 시흥대로185길 11,02-848-2469,37.491735,126.907233,영등포구
희정식당,서울 영등포구 여의나루로 117,02-784-9213,37.526238,126.931053,영등포구
대문점,서울 영등포구 영중로10길 30,02-2678-3256,37.518617,126.908583,영등포구
남도마루,서울 영등포구 은행로 3,02-761-9937,37.527602,126.91963,영등포구
강가네멧돌빈대떡,서울 용산구 대사관로24길 27,02-792-1967,37.532519,127.005446,용산구
부첼리하우스,서울 용산구 독서당로 122-1,02-792-5676,37.536807,127.012903,용산구
구복만두,서울 용산구 두텁바위로 10,02-797-8656,37.545083,126.973175,용산구
갯마을한강로점,서울 용산구 서빙고로 56,02-795-2277,37.523054,126.970309,용산구
강원정,서울 용산구 원효로89길 13-10,02-719-9978,37.540495,126.967829,용산구
오통영 이촌점,서울 용산구 이촌동 300-3,02-794-2377,37.516956,126.979805,용산구
나리의집,서울 용산구 이태원로 245,02-793-4860,37.536907,127.000127,용산구
평양집,서울 용산구 한강대로 186,02-793-6866,37.534836,126.973949,용산구
갈현시장할머니떡볶이,서울 은평구 통일로87길 8-1,02-354-8399,37.623491,126.918776,은평구
미갈매기살,서울 종로구 돈화문로11가길 7,02-3672-0081,37.572989,126.991063,종로구
찬양집,서울 종로구 돈화문로11다길 5,02-743-1384,37.572793,126.990274,종로구
자하 손만두,서울 종로구 백석동길 12,02-379-2648,37.593163,126.96606,종로구
깡통만두,서울 종로구 북촌로2길 5-6,02-794-4243,37.578163,126.986091,종로구
풍년쌀농산,서울 종로구 북촌로5가길 32,02-732-7081,37.580955,126.981706,종로구
큰기와집,서울 종로구 북촌로5길 62,02-722-9024,37.579954,126.981629,종로구
사발,서울 종로구 사직로8길 34,02-720-4845,37.57321,126.971759,종로구
백부장집닭한마리,서울 종로구 삼봉로 100-1,02-732-2565,37.571827,126.982691,종로구
일미식당,서울 종로구 삼일대로 428,02-766-6588,37.572157,126.987611,종로구
통나무식당,서울 종로구 삼일대로 436-1,02-763-7494,37.573566,126.987965,종로구
병우네,서울 종로구 삼청로7길 19-13,02-720-9397,37.583517,126.981082,종로구
평안도만두집,서울 종로구 새문안로3길 30,02-723-6592,37.572906,126.973122,종로구
광화문집,서울 종로구 새문안로5길 12,02-739-7737,37.571372,126.974954,종로구
이문설농탕,서울 종로구 우정국로 38-13,02-733-6526,37.572756,126.983901,종로구
비원떡집,서울 종로구 율곡로 20,02-765-4928,37.575494,126.981701,종로구
조선김밥,서울 종로구 율곡로3길 68,02-723-7496,37.578589,126.982214,종로구
안주마을,서울 종로구 자하문로1길 5,02-723-3529,37.576429,126.972111,종로구
취천루,서울 종로구 자하문로7길 9,02-6221-8249,37.57824,126.971022,종로구
포담,서울 종로구 자하문로9길 11,02-733-0831,37.579326,126.970565,종로구
감촌,서울 종로구 종로 19,02-733-7035,37.570847,126.97984,종로구
유림낙지,서울 종로구 종로 24-8,02-723-1741,37.569503,126.9797,종로구
청진옥,서울 종로구 종로3길 32,02-735-1690,37.571736,126.979454,종로구
옛날민속집,서울 종로구 진흥로 469,02-379-6100,37.606547,126.96036,종로구
와글와글족발,서울 종로구 창신길 18,02-765-0319,37.572408,127.010825,종로구
북악정,서울 종로구 평창36길 6,02-394-2340,37.611348,126.977747,종로구
인왕식당,서울 종로구 필운대로6길 17-1,02-737-2214,37.58049,126.969644,종로구
메밀꽃필무렵,서울 종로구 효자로 31-1,02-734-0367,37.578885,126.973696,종로구
부민옥,서울 중구 다동길 24-12,02-777-2345,37.567508,126.980225,중구
함흥에겨울냉면,서울 중구 동호로24길 21,02-2279-2770,37.560206,127.005248,중구
만나손칼국수,서울 중구 동호로31길 29,02-2266-6556,37.56319,127.001122,중구
오장동흥남집,서울 중구 마른내로 114,02-2266-0735,37.564348,127.000552,중구
평래옥,서울 중구 마른내로 21-1,02-2267-5892,37.564928,126.990391,중구
명동교자,서울 중구 명동10길 29,02-776-5348,37.562572,126.985748,중구
대복,서울 중구 세종대로14길 22,02-755-0189,37.562802,126.977924,중구
대복집,서울 중구 세종대로14길 22,02-755-0189,37.562802,126.977924,중구
신성식당,서울 중구 세종대로14길 22-3,02-753-5306,37.562632,126.978073,중구
원조녹두(녹두전 파전),서울 중구 을지로11길 26-2,02-2277-0241,37.567564,126.990955,중구
조선옥,서울 중구 을지로15길 6-5,02-2266-0333,37.566803,126.993637,중구
산수갑산,서울 중구 을지로20길 24,02-2275-6654,37.56542,126.995331,중구
남포면옥,서울 중구 을지로3길 24,02-777-3131,37.567215,126.981791,중구
우래옥,서울 중구 창경궁로 62-29,02-2265-0151,37.568224,126.998723,중구
은주정,서울 중구 창경궁로8길 32,02-2265-4669,37.568684,126.999759,중구
통일집 을지로점,서울 중구 충무로 68-12,02-2273-0824,37.567204,126.993134,중구
을지면옥,서울 중구 충무로14길 2-1,02-2266-7052,37.567661,126.992845,중구
재구네닭발,서울 중구 퇴계로86길 24,02-2236-5143,37.56449,127.019646,중구
난장캠프,서울특별시 강남구 강남대로114길 10,02-516-1446,37.505761,127.02521,강남구
미미면가,서울특별시 강남구 강남대로160길 29,070-4211-5466,37.52008,127.02111,강남구
장서는날,서울특별시 강남구 강남대로78길 35,02-567-4475,37.495717,127.032205,강남구
마포쉐프 강남역점,서울특별시 강남구 강남대로98길 16 파빌리온빌딩,02-566-8886,37.500729,127.028012,강남구
서경도락 도산대로점,서울특별시 강남구 도산대로 208,02-512-1092,37.519779,127.029349,강남구
베러댄비프,서울특별시 강남구 도산대로11길 5,02-3446-0400,37.517864,127.022281,강남구
달식탁,서울특별시 강남구 도산대로15길 11,02-511-9440,37.519057,127.023793,강남구
두레국수,서울특별시 강남구 도산대로37길 28,02-3444-1421,37.522851,127.031549,강남구
도산분식 도산공원점,서울특별시 강남구 도산대로49길 10-6 젤로빌딩,02-514-5060,37.523705,127.037896,강남구
밍글스,서울특별시 강남구 도산대로67길 19 힐탑빌딩 2층,02-515-7306,37.525378,127.044165,강남구
토끼정 강남점,서울특별시 강남구 봉은사로6길 32,070-4230-2233,37.502975,127.027248,강남구
외고집설렁탕,서울특별시 강남구 삼성로 555 알앤텍빌딩 1층,02-567-5225,37.511022,127.053906,강남구
오통영 청담점,서울특별시 강남구 선릉로158길 10 한나빌딩 지하2층,02-544-2377,37.52545,127.040849,강남구
고센인코퍼레이티드 청담점,서울특별시 강남구 선릉로158길 18,02-515-1863,37.525221,127.04144,강남구
농민백암순대 본점,서울특별시 강남구 선릉로86길 40-4,02-555-9603,37.503743,127.05298,강남구
만두집,서울특별시 강남구 압구정로 338,02-544-3710,37.52793,127.038883,강남구
홈수끼 학동점,서울특별시 강남구 언주로 708,02-3445-4124,37.51629,127.035729,강남구
한성칼국수 논현점,서울특별시 강남구 언주로 735 국민은행 지하,02-544-0540,37.520797,127.033748,강남구
참한간장게장,서울특별시 강남구 언주로168길 15,02-518-7782,37.526447,127.034908,강남구
대낚식당,서울특별시 강남구 역삼로 137 1층 대낚식당,02-558-5561,37.494555,127.03447,강남구
뜨락,서울특별시 강남구 영동대로142길 13-3,02-543-2987,37.524415,127.055547,강남구
황금콩밭,서울특별시 마포구 굴레방로1길 6,02-313-2952,37.554497,126.956579,마포구
고등어김치찜전문점군자네,서울특별시 마포구 대흥로 53,02-706-5454,37.545533,126.939514,마포구
장수갈매기,서울특별시 마포구 도화길 46,02-716-6070,37.541677,126.950703,마포구
밤새우리,서울특별시 마포구 독막로5길 28 1층,070-4823-5556,37.549209,126.918662,마포구
금화로불고기,서울특별시 마포구 동교로 186-1,02-334-3312,37.556892,126.922297,마포구
도하정,서울특별시 마포구 마포대로4길 38 1층 도하정,010-9440-6639,37.538037,126.946591,마포구
락희옥 마포본점,서울특별시 마포구 백범로 170,02-719-9797,37.544897,126.947954,마포구
홍천한우곱창,서울특별시 마포구 새창로6길 4,02-713-9293,37.541739,126.952513,마포구
옹달샘 본점,서울특별시 마포구 양화로6길 99,02-333-2440,37.548462,126.919714,마포구
옥동식,서울특별시 마포구 양화로7길 44-10 3차신도빌라,010-5571-9915,37.552641,126.914594,마포구
행진,서울특별시 마포구 월드컵로 49,02-336-4275,37.553668,126.911614,마포구
미담진족,서울특별시 마포구 잔다리로3안길 27,02-334-7574,37.550427,126.919832,마포구
마포원조주물럭,서울특별시 마포구 토정로 294,02-716-3001,37.540833,126.941855,마포구
마포옥,서울특별시 마포구 토정로 312,02-716-6661,37.539882,126.94334,마포구
조박집 본관,서울특별시 마포구 토정로37길 3,02-712-7462,37.539819,126.94437,마포구
녹원쌈밥,서울특별시 서대문구 연희로25길 22,02-336-9483,37.572489,126.934151,서대문구
한씨옥,서울특별시 서대문구 연희로25길 92,02-305-4892,37.569775,126.931971,서대문구
오리와메밀푸른초장,서울특별시 서대문구 충정로 43-4 유석빌딩 1층,02-362-1172,37.563034,126.964145,서대문구
진주집,서울특별시 영등포구 국제금융로6길 33,02-780-6108,37.520776,126.926934,영등포구
옴팡집,서울특별시 영등포구 국회대로76길 16,02-784-3644,37.530252,126.921719,영등포구
당산마루 능이버섯삼계탕,서울특별시 영등포구 선유로54길 9,02-6083-1393,37.536159,126.899739,영등포구
길풍식당,서울특별시 영등포구 양평로 85,02-2634-1359,37.53592,126.897367,영등포구
영원식당,서울특별시 영등포구 여의나루로 117 서울 상가 2층,02-784-1866,37.526238,126.931053,영등포구
양평민물매운탕,서울특별시 용산구 청파로 329 동해해물탕,02-712-6657,37.549017,126.969737,용산구
옛집,서울특별시 용산구 한강대로62길 18,02-794-8364,37.534056,126.973394,용산구
봉산집 본점,서울특별시 용산구 한강대로62나길 24,02-793-5022,37.534448,126.975007,용산구
계림,서울특별시 종로구 돈화문로4길 39,02-2263-6658,37.570162,126.994486,종로구
백부장집 닭한마리,서울특별시 종로구 삼봉로 100-1,02-732-2565,37.571827,126.982691,종로구
낙원떡집,서울특별시 종로구 삼일대로 438,02-732-5579,37.5738,126.987905,종로구
원조유림낙지,서울특별시 종로구 종로 24-8,02-723-1741,37.569503,126.9797,종로구
닭진미강원집,서울특별시 중구 남대문시장길 22-20,02-753-9063,37.559587,126.977039,중구
명동교자 본점,서울특별시 중구 명동10길 29,02-776-5348,37.562572,126.985748,중구
하동관명동본점,서울특별시 중구 명동9길 12,02-776-5656,37.564431,126.985044,중구
양미옥 을지로본점,서울특별시 중구 충무로 62,02-2275-8838,37.566796,126.9928,중구
목멱산방,서울특별시 중구 퇴계로20길 71 1층 목멱산방,02-318-4790,37.558131,126.986884,중구
강촌숯불닭갈비 본점,서울특별시 구로구 공원로6나길 35-2,02-851-2194,37.50443,126.891723,구로구
퓨전선술집,서울특별시특별시 마포구 월드컵로1길 7,02-335-4764,37.549468,126.977874,마포구
뉴문한우육회,서울 강남구 논현동 143-2,,37.50971727,127.0228016,강남구
건대통골뱅이,서울 강남구 논현동 143-26,,37.50889377,127.0232021,강남구
새마을식당,서울 강남구 논현동 164-12,,37.50767983,127.0237315,강남구
고요남,서울 강남구 논현동 164-14,,37.50796574,127.0236095,강남구
사람사는 고깃집 김일도,서울 강남구 논현동 183-8,,37.50681783,127.0255031,강남구
서경도락,서울 강남구 논현동 60,,37.5197603,127.0293667,강남구
진대감,서울 강남구 대치동 895-11,,37.50403216,127.0539804,강남구
채근담,서울 강남구 대치동 983,,37.50343031,127.0650206,강남구
맛자랑,서울 강남구 대치동 987-7,,37.50029412,127.0631445,강남구
초량돼지,서울 강남구 대치동 996-14,,37.50865006,127.0657543,강남구
봉족발,서울 강남구 도곡동 954-12,,37.48548364,127.0349169,강남구
미인삼계탕,서울 강남구 삼성동 159,,37.51252119,127.0588193,강남구
김복순큰남비집,서울 강남구 신사동 522,,37.52073355,127.0199705,강남구
개화옥등심,서울 강남구 신사동 574-5,,37.52501394,127.0251773,강남구
청청,서울 강남구 신사동 588-12,,37.5215078,127.0311082,강남구
동경전통육개장,서울 강남구 역삼1동 647-7,,37.50042612,127.0327224,강남구
대우식당,서울 강남구 역삼동 641-18,,37.50275593,127.0352543,강남구
통영집,서울 강남구 역삼동 696-31,,37.50647896,127.0473938,강남구
강남목장,서울 강남구 역삼동 725-25,,37.50036277,127.0403082,강남구
강남목장,서울 강남구 역삼동 725-25,,37.50036277,127.0403082,강남구
현대북어찜황태전골,서울 강남구 역삼동 738-11,,37.49887571,127.0371559,강남구
무등산,서울 강남구 청담동 1-15,,37.5219196,127.0399605,강남구
드럼통떡볶이,서울 강동구 길동 412-8,,37.53685778,127.1392951,강동구
까시,서울 강동구 길동 414-3,,37.53674523,127.1375419,강동구
버섯잔치집,서울 강동구 성내동 549-4,,37.52828742,127.1256773,강동구
땡초닭발,서울 강북구 수유동 178-28,,37.64202801,127.0243262,강북구
